name,onPremiseAge,offPremiseAge,note,pop2019
Zambia,18,18,,17861.03
South Korea,19,19,,51225.308
Iceland,20,20,,339.031
Japan,20,20,,126860.301
Paraguay,20,20,,7044.636
Thailand,20,20,,69625.582
Uzbekistan,20,20,,32981.716
Central African Republic,21,15,,4745.185
Sri Lanka,21,21,,21323.733
Equatorial Guinea,21,21,,1355.986
Kiribati,21,21,,117.606
Iraq,21,21,Sources say only Iraqi Christians are permitted to sell alcohol; alcohol sales were banned entirely from 2006-08.,39309.783
Mongolia,21,21,,3225.167
Oman,21,21,,4974.986
Nauru,21,21,No info provided by WHO; other sources list 21 as the drinking age.,10.756
Micronesia,21,21,,113.815
Palau,21,21,,18.008
United States,21,21,,329064.917
Samoa,21,21,No info provided by WHO; other sources list 21,197.097
